Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA, Application Number(1), Application Number(2), Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes
Gabitril,tiagabine hydrochloride,Abbott Laboratories,NDA,20646,,,Tablet,Oral,,,,,11/6/1995,9/30/1997,1997,indicated as adjunctive therapy in adults and children 12 years and older in the treatment of partial seizures,,Standard,No,No,N/A,N/A,N/A,N/A,N/A,
Avapro,irbesartan,Sanofi,NDA,20757,,,Tablet,Oral,,,,,9/26/1996,9/30/1997,1997,treatment of hypertension,,Standard,No,No,N/A,N/A,N/A,N/A,N/A,
Infergen,interferon alfacon-1,Amgen,BLA,103663,,,Injectable,Injection,,,,,4/11/1996,10/6/1997,1997,treatment of chronic hepatitis C virus (HCV) infection in patients 18 years of age or older with compensated liver disease who have anti-HCV serum antibodies and/or the presence of HCV RNA,,Standard,No,No,N/A,N/A,N/A,N/A,N/A,
Raxar,grepafloxacin hydrochloride,Glaxo Wellcome,NDA,20695,,,Tablet,Oral,,,,,11/8/1996,11/6/1997,1997,"treatment of adults with acute bacterial exacerbations of chronic bronchitis, community-acquired pneumonia, uncomplicated gonorrhea, and nongonococcal urethritis and cervicitis",,Standard,No,No,N/A,N/A,N/A,N/A,N/A,
Plavix,clopidogrel bisulfate,Sanofi,NDA,20839,,,Tablet,Oral,,,,,4/28/1997,11/17/1997,1997,"indicated for the reduction of atherosclerotic events (myocardial infarction, stroke, and vascular death) in patients with atherosclerosis documented by recent stroke, recent myocardial infarction, or established peripheral arterial disease",,Priority,No,No,N/A,N/A,N/A,N/A,N/A,
Meridia,sibutramine hydrochloride,Knoll  Pharmacuticals,NDA,20632,,,Capsule,Oral,,,,,8/9/1995,11/22/1997,1997,"indicated for the management of obesity, including weight loss and maintenance of weight loss, and should be used in conjunction with a reduced calorie diet",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Neumega,oprelvekin,Genetics Institute,BLA,103694,,,Injectable,Injection,,,,,12/23/1996,11/25/1997,1997,indicated for the prevention of severe thrombocytopenia and the reduction of the need for platelet transfusions following myelosuppressive chemotherapy in patients with nonmyeloid malignancies who are at high risk of severe thrombocytopenia,,Standard,Yes,No,N/A,No,N/A,N/A,N/A,
Zomig,zolmitriptan,Zeneca,NDA,20768,,,Tablet,Oral,,,,,11/26/1996,11/25/1997,1997,treatment of acute migraine,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Teslascan,mangafodipir trisodium,Nycomed,NDA,20652,,,Injectable,Injection,,,,,9/15/1995,11/26/1997,1997,"indicated as an adjunct to MRI to enhance the T1-weighted images used in the detection, localization, characterization, and evaluation of lesions of the liver",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Rituxan,rituximab,Genentech,BLA,103705,,,Injectable,Injection,,,,,2/28/1997,11/26/1997,1997,"treatment of patients with relapsed or refractory low-grade or follicular, CD20 positive, B-cell non-Hodgkin’s lymphoma",,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Antizol,fomepizole,Orphan Medical,NDA,20696,,,Injectable,Injection,,,,,12/6/1996,12/4/1997,1997,"indicated as an antidote to ethylene glycol (antifreeze) poisoning in patients who have ingested, or are suspected of having ingested ethylene glycol",,Standard,Yes,No,N/A,No,N/A,N/A,N/A,
Omnicef,cefdinir,Parke-Davis,NDA,50739,50749,,Capsule,Oral,Suspension,Oral,,,9/4/1996,12/4/1997,1997,"indicated for the treatment of patients with mild to moderate infections caused by susceptible strains of designated microorganisms in the following conditions:  community-acquired pneumonia, acute exacerbations of chronic bronchitis, acute bacterial otitis media, acute maxillary sinusitis, pharyngitis/tonsillitis and uncomplicated skin and skin structure infections",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Evista,raloxifene hydrochloride,Lilly,NDA,20815,,,Tablet,Oral,,,,,6/9/1997,12/9/1997,1997,prevention of osteoporosis in postmenopausal women,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Zenapax,daclizumab,Roche,BLA,103749,,,Injectable,Injection,,,,,6/10/1997,12/10/1997,1997,"indicated for the prophylaxis of acute organ rejection in patients receiving renal transplants, to be used as a part of an immunosuppressive regimen that includes cyclosporine and corticosteroids",,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Regranex,becaplermin,Johnson & Johnson,BLA,103691,,,Injectable,Injection,,,,,12/16/1996,12/16/1997,1997,"indicated for treatment of lower extremity diabetic neuropathic ulcers that extend into the subcutaneous tissue or beyond, and have adequate blood supply",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Trovan,alatrofloxacin mesylate,Pfizer,NDA,20760,,,Injectable,Injection,,,,,12/30/1996,12/18/1997,1997,"indicated for the treatment of patients with mild to moderate infections caused by susceptible strains of designated microorganisms in the following conditions: nosocomial pneumonia, community acquired pneumonia, acute bacterial exacerbation of chronic bronchitis, acute sinusitis, complicated intra-abdominal infections including post-surgical infections, gynecologic and pelvic infections including endomyometritis, parametritis, septic abortion and post-partum infections, prophylaxis of infection associated with elective colorectal surgery, vaginal and abdominal hysterectomy, uncomplicated skin and skin structure infection including diabetic foot infections, uncomplicated urinary tract infections, chronic bacterial prostatitis, uncomplicate urethral gonorrhea in males and endocervical and rectal gonorrhea in females, pelvic inflammatory disease",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Trovan,trovafloxacin mesylate,Pfizer,NDA,20759,,,Tablet,Oral,,,,,12/30/1996,12/18/1997,1997,indicated for the treatment of infections caused by susceptible strains of designated microorganisms in the following conditions:,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Teveten,eprosartan mesylate,SmithKline Beecham,NDA,20738,,,Tablet,Oral,,,,,10/11/1996,12/22/1997,1997,treatment of hypertension,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Prandin,repaglinide,Novo Nordisk,NDA,20741,,,Tablet,Oral,,,,,7/1/1997,12/22/1997,1997,"indicated as an adjunct to diet and exercise to lower blood glucose in patients with non-insulin dependent (type 2) diabetes whose hyperglycemia cannot be controlled satisfactorily by diet and exercise alone; in combination with metformin to lower blood glucose in patients whose hyperglycemia cannot be controlled satisfactorily by exercise, diet, and either repaglinide or metformin alone",,Priority,No,No,N/A,No,N/A,N/A,N/A,
Sclerosol,talc,Bryan,NDA,20587,,,"Aerosol, Metered",Inhalation,,,,,8/15/1995,12/24/1997,1997,for the prevention of the recurrence of malignant pleural effusions in symptomatic patients,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Emadine,emedastine difumarate,Alcon,NDA,20706,,,Solution/Drops,Ophthalmic,,,,,3/26/1996,12/29/1997,1997,for the temporary relief of the signs and symptoms of allergic conjunctivitis,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Tasmar,tolcapone,Roche,NDA,20697,,,Tablet,Oral,,,,,6/5/1996,1/29/1998,1998,indicated as an adjunct to levodopa and carbidopa for the treatment of the signs and symptoms of idiopathic Parkinson’s disease,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Amerge,naratriptan,Glaxo Wellcome,NDA,20763,,,Tablet,Oral,,,,,12/4/1996,2/10/1998,1998,acute treatment of migraine headache,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Singulair,montelukast sodium,Merck,NDA,20829,20830,,Tablet,Oral,Tablet,Oral,,,2/21/1997,2/20/1998,1998,prophylaxis and chronic treatment of asthma in patients 15 years and older,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Refludan,lepirudin,Hoechst Marion Roussel,NDA,20807,,,Injectable,Injection,,,,,12/31/1996,3/6/1998,1998,anticoagulation in patients with heparin-induced thrombocytopenia (HIT) and thromboembolic disease in order to prevent further thromboembolic complications,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Lotemax; Alrex,loteprednol etabonate,Bausch & Lomb,NDA,20583,20841,20803,Suspension,Ophthalmic,Suspension,Ophthalmic,Suspension,Ophthalmic,3/31/1995,3/9/1998,1998,"Lotemax is indicated for treatment of steroid response inflammatory conditions of the palepebral and bulbar conjunctiva, cornea, and anterior segment of the eye; Lotemax is also indicated for treatment of post-operative inflammation following ocular surgery; Alrex is indicated for temporary relief of signs and symptoms of seasonal allergic conjunctivitis",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Detrol,tolterodine tartrate,Pharmacia and Upjohn,NDA,20771,,,Tablet,Oral,,,,,3/25/1997,3/25/1998,1998,"treatment of patients with an overactive bladder with symptoms of urinary frequency, urgency, or urge incontinence",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Actonel,risedronate sodium,Procter & Gamble,NDA,20835,,,Tablet,Oral,,,,,4/1/1997,3/27/1998,1998,treatment of Paget's disease of the bone,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Viagra,sildenafil citrate,Pfizer,NDA,20895,,,Tablet,Oral,,,,,9/29/1997,3/27/1998,1998,treatment of erectile dysfunction,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Azopt,brinzolamide,Alcon,NDA,20816,,,Suspension/Drops,Ophthalmic,,,,,1/28/1997,4/1/1998,1998,treatment of elevated intraocular pressure in patients with ocular hypertension or open angle glaucoma,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Sucraid,sacrosidase,Orphan Medical,BLA,20772,,,Solution,Oral,,,,,5/7/1997,4/9/1998,1998,"treatment of the genetically determined sucrase deficiency, which is part of congenital sucrase-isomaltase deficiency (CSID)",,Priority,Yes,No,N/A,No,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.
Zemplar,paricalcitol,Abbott Laboratories,NDA,20819,,,Solution,Intravenous,,,,,1/17/1997,4/17/1998,1998,prevention and treatment of secondary hyperparathyroidism encountered with chronic renal failure,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Xeloda,capecitabine,Roche,NDA,20896,,,Tablet,Oral,,,,,10/31/1997,4/30/1998,1998,"treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen or resistant to paclitaxel and for whom further anthracycline therapy may be contraindicated, e.g., patients who have received cumulative doses of 400 mg/m2 of doxorubicin or doxorubicin equivalents",,Priority,No,Yes,N/A,No,N/A,N/A,N/A,
Simulect,basiliximab,Novartis Pharmaceuticals,BLA,103764,,,Injectable,Injection,,,,,11/12/1997,5/12/1998,1998,indicated for the prophylaxis of acute organ rejection in patients receiving renal transplantation when used as part of an immunosuppressive regimen that includes cyclosporine and corticosteroids,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Aggrastat,tirofiban hydrochloride,Merck,NDA,20912,20913,,Injectable,Injection,Injectable,Injection,,,10/31/1997,5/14/1998,1998,"in combination with heparin, for the treatment of acute coronary syndrome, including patients who are to be managed medically and those undergoing PTCA or atherectomy",,Priority,No,No,N/A,No,N/A,N/A,N/A,
Integrilin,eptifibatide,COR Therapeutics,NDA,20718,,,Injectable,Injection,,,,,4/2/1996,5/18/1998,1998,"treatment of patients with acute coronary syndrome (UA/NQMI), including patients who are to be managed medically and those undergoing percutaneous coronary intervention (PCI). In this setting, INTEGRILIN has been shown to decrease the rate of a combined endpoint of death or new myocardial infarction;  also indicated for treatment of patients undergoing PCI. In this setting, INTEGRILIN has been shown to decrease the rate of a combined endpoint of death, new myocardial infarction, or need for urgent intervention",,Priority,No,No,N/A,No,N/A,N/A,N/A,
Atacand,candesartan cilexetil,Astra Merck,NDA,20838,,,Tablet,Oral,,,,,4/30/1997,6/4/1998,1998,treatment of hypertension,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Synagis,palivizumab,MedImmune,BLA,103770,,,Injectable,Injection,,,,,12/19/1997,6/19/1998,1998,"prophylaxis of serious lower respiratory tract disease, caused by respiratory syncytial virus, in pediatric patients at high risk of RSV disease",,Priority,No,No,N/A,No,N/A,N/A,N/A,
Priftin,rifapentine,Hoechst Marion Roussel,NDA,21024,,,Tablet,Oral,,,,,12/22/1997,6/22/1998,1998,treatment of pulmonary tuberculosis,,Priority,Yes,Yes,N/A,No,N/A,N/A,N/A,
Maxalt; Maxalt-MLT,rizatriptan benzoate,Merck,NDA,20864,20865,,Tablet,Oral,Tablet,Oral,,,6/30/1997,6/29/1998,1998,acute treatment of migraine headache,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Infasurf,calfactant,Ony,BLA,20521,,,Suspension,Intratracheal,,,,,7/31/1995,7/1/1998,1998,prevention and treatment of Respiratory Distress Syndrome (RDS) in neonates,,Standard,Yes,No,N/A,No,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.
Thalomid,thalidomide,Celgene,NDA,20785,,,Capsule,Oral,,,,,12/20/1996,7/16/1998,1998,acute treatment of the cutaneous manifestations of moderate to severe erythema nodosum leprosum (ENL) and as maintenance therapy for prevention and suppression of the cutaneous manifestations of ENL recurrences,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Celexa,citalopram hydrobromide,Forest Laboratories,NDA,20822,,,Tablet,Oral,,,,,5/12/1997,7/17/1998,1998,treatment of depression,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Remicade,infliximab,Centocor,BLA,103772,,,Injectable,Injection,,,,,12/30/1997,8/24/1998,1998,"indicated for the treatment of moderately to severely active Crohn’s disease for the reduction of the signs and symptoms, in patients who have an inadequate response to conventional therapies; and treatment of patients with fistulizing Crohn’s disease for the reduction in the number of draining enterocutaneous fistula(s)",,Priority,Yes,Yes,N/A,No,N/A,N/A,N/A,
Vitravene,fomivirsen sodium,Isis Pharm,NDA,20961,,,Injectable,Injection,,,,,4/9/1998,8/26/1998,1998,local treatment of cytomegalovirus (CMV) retinitis in patients with acquired immunodeficiency syndrome (AIDS) who are intolerant or have a contraindication to other treatments for CMV retinitis or who were insufficiently responsive to previous treatment(s) for CMV retinitis,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Arava,leflunomide,Quintiles,NDA,20905,,,Tablet,Oral,,,,,3/10/1998,9/10/1998,1998,treatment of active rheumatoid arthritis (RA) to reduce signs and symptoms and to retard structural damage as evidenced by X-ray erosions and joint space narrowing,,Priority,No,No,N/A,No,N/A,N/A,N/A,
AcuTect,technetium Tc-99m apcitide,Diatide,NDA,20887,,,Injectable,Injection,,,,,8/20/1997,9/14/1998,1998,for scintigraphic imaging of acute venous thrombosis in the lower extremities of patients who have signs and symptoms of acute venous thrombosis,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Sustiva,efavirenz,Dupont Pharmaceuticals,NDA,20972,,,Capsule,Oral,,,,,6/11/1998,9/17/1998,1998,provides for the use of efavirenz in combination with other antiretroviral agents for the treatment of HIV-1 infection,,Priority,No,Yes,N/A,Yes,N/A,N/A,N/A,
Herceptin,trastuzumab,Genentech,BLA,103792,,,Injectable,Injection,,,,,5/4/1998,9/25/1998,1998,treatment of patients with metastatic breast cancer whose tumors overexpress the HER2 protein and who have received one or more chemotherapy regimens for their metastatic disease; also indicated in combination with paclitaxel for treatment of patients with metastatic breast cancer whose tumors overexpress HER2 protein and who have not received chemotherapy for their metastatic disease,,Priority,No,No,N/A,Yes,N/A,N/A,N/A,
Valstar,valrubicin,Anthra Pharm,NDA,20892,,,Solution,Intravesical,,,,,12/31/1997,9/25/1998,1998,indicated for intravesical therapy of BCG-refractory carcinoma in situ (CIS) of the urinary bladder in patients for whom immediate cystectomy would be associated with unacceptable morbidity or mortality,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Renagel,sevelamer hydrochloride,GelTex Pharm,NDA,20926,,,Capsule,Oral,,,,,11/3/1997,10/30/1998,1998,indicated for the reduction of serum phosphorus in patients with end stage renal disease who are on hemodialysis,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Enbrel,etanercept,Immunex,BLA,103795,,,Injectable,Injection,,,,,5/8/1998,11/2/1998,1998,indicated for reduction in signs and symptoms of moderately to severely active rheumatoid arthritis in patients who have had an inadequate response to one or more disease-modifying antirheumatic drugs (DMARDS); Etanercept can be used in combination with methotrexate in patients who do not respond adequately to methotrexate alone,,Priority,No,No,N/A,Yes,N/A,N/A,N/A,
Micardis,telmisartan,Boehringer Ingelheim Pharmaceuticals,NDA,20850,,,Tablet,Oral,,,,,9/26/1997,11/10/1998,1998,treatment of hypertension,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Thyrogen,thyrotropin alfa,Genzyme,BLA,20898,,,Injectable,Injection,,,,,12/15/1997,11/30/1998,1998,indicated for use as an adjunctive diagnostic tool for serum thyroglobulin (Tg) testing with or without radioiodine imaging in the follow-up of patients with well-differentiated thyroid cancer,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.
Ziagen,abacavir sulfate,Glaxo Wellcome,NDA,20977,20978,,Tablet,Oral,Solution ,Oral,,,6/24/1998,12/17/1998,1998,"in combination with other antiretroviral agents, for the treatment of HIV-1 infection",,Priority,No,Yes,N/A,Yes,N/A,N/A,N/A,
Provigil,modafinil,Cephalon,NDA,20717,,,Tablet,Oral,,,,,12/30/1996,12/24/1998,1998,indicated  to  improve  wakefulness  in  patients  with  excessive  daytime sleepiness associated with narcolepsy,,Standard,Yes,No,N/A,No,N/A,N/A,N/A,
Celebrex,celecoxib,Searle,NDA,20998,,,Capsule,Oral,,,,,6/30/1998,12/31/1998,1998,indicated for relief of the signs and symptoms of osteoarthritis; also indicated for relief of signs and symptoms of rheumatoid arthritis in adults,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Pletal,cilostazol,Otsuka Pharmaceutical,NDA,20863,,,Tablet,Oral,,,,,9/19/1997,1/15/1999,1999,indicated for the reduction of symptoms of intermittent claudication,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Panretin,alitretinoin,Ligand Pharm,NDA,20886,,,Gel,Topical,,,,,5/27/1998,2/2/1999,1999,topical treatment of cutaneous lesions in patients with AIDS-related Kaposi’s sarcoma,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Ontak,denileukin diftitox,Seragen,BLA,103767,,,Injectable,Injection,,,,,12/9/1997,2/5/1999,1999,treatment of patients with persistent or recurrent cutaneous T-cell lymphoma whose malignant cells express the CD25 component of the IL-2 receptor,,Priority,Yes,Yes,N/A,No,N/A,N/A,N/A,
Ferrlecit,sodium ferric gluconate complex,Makoff R&D Labs,NDA,20955,,,Injectable,Injection,,,,,12/30/1997,2/18/1999,1999,treatment of iron deficiency anemia in patients undergoing chronic hemodialysis who are receiving supplemental erythropoietin therapy,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Wellferon,interferon alfa-n1,Glaxo Wellcome,BLA,103760,,,Injectable,Injection,,,,,9/30/1997,3/25/1999,1999,treatment of chronic hepatitis C in patients 18 years of age or older without decompensated liver disease,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Agenerase,amprenavir,Glaxo Wellcome,NDA,21007,21039,,Capsule,Oral,Solution,Oral,,,10/16/1998,4/15/1999,1999,"in combination with other antiretroviral agents, for the treatment of HIV-1 infection",,Priority,No,Yes,N/A,Yes,N/A,N/A,N/A,
Xenical,orlistat,Roche,NDA,20766,,,Capsule,Oral,,,,,11/27/1996,4/23/1999,1999,indicated for obesity management including weight loss and weight maintenance when used in conjunction with a reduced-calorie diet;  also indicated to reduce the risk for weight re-gain after prior loss,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Vioxx,rofecoxib,Merck Research Laboratories,NDA,21042,21052,,Tablet,Oral,Suspension,Oral,,,11/23/1998,5/20/1999,1999,"indicated for the relief of the signs and symptoms of osteoarthritis, for the management of acute pain, and for the treatment of primary dysmenorrhea",,Priority,No,No,N/A,No,N/A,N/A,N/A,
Avandia,rosiglitazone maleate,SKB Pharms,NDA,21071,,,Tablet,Oral,,,,,11/25/1998,5/25/1999,1999,indicated as an adjunct to diet and exercise to improve glycemic control in patients with Type 2 diabetes mellitus as monotherapy or in combination with metformin,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Hectorol,doxercalciferol,Bone Care,NDA,20862,,,Capsule,Oral,,,,,3/9/1998,6/9/1999,1999,indicated for the reduction of elevated iPTH levels in the management of secondary hyperparathyroidism in patients undergoing chronic renal dialysis,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Zaditor,ketotifen fumarate,Ciba Vision,NDA,21066,,,Solution/Drops,Ophthalmic,,,,,1/4/1999,7/2/1999,1999,prevention of itching of the eye due to allergic conjunctivitis,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Actos,pioglitazone hydrochloride,Takeda America,NDA,21073,,,Tablet,Oral,,,,,1/15/1999,7/15/1999,1999,"indicated for the improvement of glycemic control in patients with type 2 diabetes as monotherapy, or in combination with a sulfonylurea, metformin or insulin when diet and the single agent does not result in adequate glycemic control",,Priority,No,No,N/A,No,N/A,N/A,N/A,
Relenza,zanamivir,Glaxo Wellcome,NDA,21036,,,Powder,Inhalation,,,,,10/27/1998,7/26/1999,1999,treatment of uncomplicated acute illness due to influenza virus in adults and adolescents twelve years and older who have been symptomatic for no more than two days,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Antagon,ganirelix acetate,Organon,NDA,21057,,,Injectable,Injection,,,,,1/29/1999,7/29/1999,1999,indicated for the inhibition of premature LH surges in women undergoing controlled ovarian hyperstimulation,,Priority,No,No,N/A,No,N/A,N/A,N/A,
NeoTect,technetium Tc 99m depreotide,Diatide,NDA,21012,,,Injectable,Injection,,,,,6/16/1998,8/3/1999,1999,indicated as a scintigraphic imaging agent that identifies somatostatin receptor-bearing pulmonary masses in patients presenting with pulmonary lesions on computed tomography and/or chest x-ray who have known malignancy or who are highly suspect for malignancy,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Temodar,temozolomide,Schering,NDA,21029,,,Capsule,Oral,,,,,8/13/1998,8/11/1999,1999,"treatment of adult patients with refractory anaplastic astrocytoma, i.e., patients at first relapse who have experienced disease progression on a drug regimen containing a nitrosourea and procarbazine",,Priority,Yes,Yes,N/A,No,N/A,N/A,N/A,
Sonata,zaleplon,Wyeth-Ayerst,NDA,20859,,,Capsule,Oral,,,,,1/6/1998,8/13/1999,1999,short-term treatment of insomnia,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Raplon,rapacuronium bromide,Organon,NDA,20984,,,Injectable,Injection,,,,,6/25/1998,8/18/1999,1999,"indicated for outpatients and inpatients as an adjunct to general anesthesia to facilitate tracheal intubation, and to provide skeletal muscle relaxation during surgical procedures",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Aciphex,rabeprazole sodium,Eisai,NDA,20973,,,"Tablet, Delayed Release",Oral,,,,,3/31/1998,8/19/1999,1999,"indicated for: healing of erosive or ulcerative gastroesophageal reflux disease (GERD); maintenance of healing of erosive or ulcerative GERD; healing of duodenal ulcer; treatment of pathological hypersecretory conditions, including Zollinger-Ellison Syndrome",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Ellence,epirubicin hydrochloride,Pharmacia and Upjohn,NDA,50778,,,Injectable,Injection,,,,,12/15/1998,9/15/1999,1999,indicated as a component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer,,Priority,Yes,No,N/A,No,N/A,N/A,N/A,
Rapamune,sirolimus,Wyeth Ayerst Research,NDA,21083,,,Solution,Oral,,,,,12/15/1998,9/15/1999,1999,prophylaxis of organ rejection in patients receiving renal transplants,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Synercid,"dalfopristin, quinupristin",Rhone-Poulenc Rorer,NDA,50747,50748,,Injectable,Injection,Injectable,Injection,,,9/5/1997,9/21/1999,1999,"[A] treatment of vancomycin resistant Enterococcus faecium
[B] treatment of complicated skin and skin structure infections",,Priority (indication [A] only),No,Yes (indication [A] only),N/A,No,N/A,N/A,N/A,
Alamast,pemirolast potassium,Santen,NDA,21079,,,Solution/Drops,Ophthalmic,,,,,3/26/1999,9/24/1999,1999,prevention of itching of the eye due to allergic conjunctivitis,,Priority,No,No,N/A,No,N/A,N/A,N/A,
Tikosyn,dofetilide,Pfizer,NDA,20931,,,Capsule,Oral,,,,,3/9/1998,10/1/1999,1999,indicated for the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter) in patients with atrial fibrillation /atrial flutter of greater than one week duration who have been converted to normal sinus rhythm,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Comtan,entacapone,Orion,NDA,20796,,,Tablet,Oral,,,,,1/2/1998,10/19/1999,1999,"indicated as an adjunct to levodopa/carbidopa to treat patients with idiopathic Parkinson’s Disease who experience the signs and symptoms of end-of-dose ""wearing-off"" (so called ""fluctuating"" patients)",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Aromasin,exemestane,Pharmacia and Upjohn,NDA,20753,,,Tablet,Oral,,,,,12/21/1998,10/21/1999,1999,treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy,,Standard,Yes,No,N/A,No,N/A,N/A,N/A,
Tamiflu,oseltamivir phosphate,Roche,NDA,21087,,,Capsule,Oral,,,,,4/29/1999,10/27/1999,1999,"treatment of uncomplicated acute illness due to influenza infections in adults who have been symptomatic for no more than
two days",,Priority,No,No,N/A,No,N/A,N/A,N/A,
Curosurf,poractant,Dey Laboratories,BLA,20744,,,Suspension,Intratracheal,,,,,7/3/1996,11/18/1999,1999,treatment (rescue) of Respiratory Distress Syndrome (RDS) in premature infants,,Standard,Yes,No,N/A,No,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.
Keppra,levetiracetam,UCP Pharma,NDA,21035,,,Tablet,Oral,,,,,2/1/1999,11/30/1999,1999,indicated as an adjunctive therapy in the treatment of partial onset seizures in adults with epilepsy,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Levulan Kerastick,aminolevulinic acid hydrochloride,Dusa,NDA,20965,,,Solution,Topical,,,,,7/1/1998,12/3/1999,1999,Levulan Kerastick plus blue light illumination using the BLU-U Blue Light Photodynamic Therapy Illuminator is indicated for the treatment of non-hyperkeratotic actinic keratoses of the face and scalp,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Optimark,gadoversetamide,Mallinckrodt,NDA,20937,20975,20976,Injectable,Injection,Injectable,Injection,Injectable,Injection,3/2/1998,12/8/1999,1999,"indicated for the use with magnetic resonance imaging (MRI) in patients with an abnormal blood barrier or abnormal vascularity of the brain, spine and associated tissues; and with MRI to provide contrast enhancement and facilitate visualization of lesions with abnormal vascularity in the liver in patients who are highly suspect for liver structural abnormalities identified on computerized tomography",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Solage,"mequinol, tretinoin",Bristol-Myers Squibb,NDA,20922,,,Solution,Topical,,,,,12/30/1997,12/10/1999,1999,treatment of solar lentigines,,Standard,No,No,N/A,No,N/A,N/A,N/A,
Avelox,moxifloxacin hydrochloride,Bayer,NDA,21085,,,Tablet,Oral,,,,,12/10/1998,12/10/1999,1999,"indicated for the treatment of adults with infections caused by susceptible strains of  designated microorganisms in the
following conditions: acute bacterial sinusitis, acute bacterial exacerbation of chronic bronchitis, community-acquired pneumonia",,Standard,No,No,N/A,No,N/A,N/A,N/A,
Precedex,dexmedetomidine hydrochloride,Abbott Laboratories,NDA,21038,,,Injectable,Injection,,,,,12/18/1998,12/17/1999,1999,indicated for the sedation of initially intubated and mechanically ventilated adult patients in an intensive care unit setting,,Standard,No,No,N/A,No,N/A,N/A,N/A,
